State,SIT Title,Regex,FinalizedRegex
Alabama,TT - Alabama Driver's License Number,"\d{1,8}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Alaska,TT - Alaska Driver's License Number,"\d{1,7}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,7})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Arizona,TT - Arizona Driver's License Number,[A-Z]\d{8}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{8}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Arkansas,TT - Arkansas Driver's License Number,"\d{4,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{4,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
California,TT - California Driver's License Number,[A-Z]\d{7},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{7})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Colorado,TT - Colorado Driver's License Number,"\d{9}|[A-Z]\d{3,6}|[A-Z]{2}\d{2,5}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{9}|[A-Z]\d{3,6}|[A-Z]{2}\d{2,5})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Connecticut,TT - Connecticut Driver's License Number,\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Delaware,TT - Delaware Driver's License Number,"\d{1,7}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,7})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
District of Columbia,TT - District of Columbia Driver's License Number,\d{7}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{7}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Florida,TT - Florida Driver's License Number,[A-Z]\d{12},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Georgia,TT - Georgia Driver's License Number,"\d{7,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{7,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Hawaii,TT - Hawaii Driver's License Number,[A-Z]\d{8}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{8}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Idaho,TT - Idaho Driver's License Number,[A-Z]{2}\d{6}[A-Z]|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]{2}\d{6}[A-Z]|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Illinois,TT - Illinois Driver's License Number,"[A-Z]\d{11,12}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{11,12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Indiana,TT - Indiana Driver's License Number,"[A-Z]\d{9}|\d{9,10}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{9}|\d{9,10})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Iowa,TT - Iowa Driver's License Number,\d{9}|\d{3}[A-Z]{2}\d{4},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{9}|\d{3}[A-Z]{2}\d{4})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Kansas,TT - Kansas Driver's License Number,[A-Z]\d[A-Z]\d[A-Z]|[A-Z]\d{8}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d[A-Z]\d[A-Z]|[A-Z]\d{8}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Kentucky,TT - Kentucky Driver's License Number,[A-Z]\d{8}|[A-Z]\d{9}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{8}|[A-Z]\d{9}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Louisiana,TT - Louisiana Driver's License Number,"\d{1,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Maine,TT - Maine Driver's License Number,\d{7}[A-Z]|\d{7}|\d{8},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{7}[A-Z]|\d{7}|\d{8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Maryland,TT - Maryland Driver's License Number,[A-Z]\d{12},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Massachusetts,TT - Massachusetts Driver's License Number,[A-Z]\d{8}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{8}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Michigan,TT - Michigan Driver's License Number,[A-Z]\d{10}|[A-Z]\d{12},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{10}|[A-Z]\d{12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Minnesota,TT - Minnesota Driver's License Number,[A-Z]\d{12},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Mississippi,TT - Mississippi Driver's License Number,\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Missouri,TT - Missouri Driver's License Number,"\d{3}[A-Z]\d{6}|[A-Z]\d{5,9}|[A-Z]\d{6}R|\d{8}[A-Z]{2}|\d{9}[A-Z]|\d{9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{3}[A-Z]\d{6}|[A-Z]\d{5,9}|[A-Z]\d{6}R|\d{8}[A-Z]{2}|\d{9}[A-Z]|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Montana,TT - Montana Driver's License Number,"[A-Z]{3}\d{10}|[A-Z]\d{8}|\d{9}|\d{13,14}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]{3}\d{10}|[A-Z]\d{8}|\d{9}|\d{13,14})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Nebraska,TT - Nebraska Driver's License Number,"[A-Z]\d{6,8}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{6,8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Nevada,TT - Nevada Driver's License Number,"\d{9,10}|\d{12}|X\d{8}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{9,10}|\d{12}|X\d{8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
New Hampshire,TT - New Hampshire Driver's License Number,\d{2}[A-Z]{3}\d{5},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{2}[A-Z]{3}\d{5})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
New Jersey,TT - New Jersey Driver's License Number,[A-Z]\d{14},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{14})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
New Mexico,TT - New Mexico Driver's License Number,"\d{8,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{8,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
New York,TT - New York Driver's License Number,"[A-Z]\d{7}|[A-Z]\d{18}|\d{8,9}|\d{16}|[A-Z]{8}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{7}|[A-Z]\d{18}|\d{8,9}|\d{16}|[A-Z]{8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
North Carolina,TT - North Carolina Driver's License Number,"\d{1,12}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
North Dakota,TT - North Dakota Driver's License Number,[A-Z]{3}\d{6}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]{3}\d{6}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Ohio,TT - Ohio Driver's License Number,"[A-Z]\d{4,8}|[A-Z]{2}\d{3,7}|\d{8}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{4,8}|[A-Z]{2}\d{3,7}|\d{8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Oklahoma,TT - Oklahoma Driver's License Number,[A-Z]\d{9}|\d{9},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{9}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Oregon,TT - Oregon Driver's License Number,"\d{1,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{1,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Pennsylvania,TT - Pennsylvania Driver's License Number,\d{8},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Rhode Island,TT - Rhode Island Driver's License Number,\d{7}|[A-Z]\d{6},"(?:^|[\s,\;\:\(\)\[\]""'])(\d{7}|[A-Z]\d{6})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
South Carolina,TT - South Carolina Driver's License Number,"\d{5,11}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{5,11})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
South Dakota,TT - South Dakota Driver's License Number,"\d{6,10}|\d{12}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{6,10}|\d{12})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Tennessee,TT - Tennessee Driver's License Number,"\d{7,9}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{7,9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Texas,TT - Texas Driver's License Number,"\d{7,8}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{7,8})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Utah,TT - Utah Driver's License Number,"\d{4,10}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{4,10})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Vermont,TT - Vermont Driver's License Number,\d{8}|\d{7}A,"(?:^|[\s,\;\:\(\)\[\]""'])(\d{8}|\d{7}A)(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Virginia,TT - Virginia Driver's License Number,"[A-Z]\d{8,11}|\d{9}","(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{8,11}|\d{9})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Washington,TT - Washington Driver's License Number,"(?=[A-Z0-9]{12})[A-Z]{1,7}[A-Z0-9]{5,11}","(?:^|[\s,\;\:\(\)\[\]""'])((?=[A-Z0-9]{12})[A-Z]{1,7}[A-Z0-9]{5,11})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
West Virginia,TT - West Virginia Driver's License Number,"\d{7}|[A-Z]{1,2}\d{5,6}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{7}|[A-Z]{1,2}\d{5,6})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Wisconsin,TT - Wisconsin Driver's License Number,[A-Z]\d{13},"(?:^|[\s,\;\:\(\)\[\]""'])([A-Z]\d{13})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"
Wyoming,TT - Wyoming Driver's License Number,"\d{9,10}","(?:^|[\s,\;\:\(\)\[\]""'])(\d{9,10})(?:$|[\s,\;\:\(\)\[\]""']|\.\s|\.$)"